TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,41,30.9,67,29.69,10,NW,9.2,20.7,N/A,,Mostly Cloudy,320,03/01/2014 05:51
1:51 AM,39,28.9,67,29.73,10,WNW,12.7,23,N/A,,Mostly Cloudy,300,03/01/2014 06:51
2:51 AM,35.1,21,57,29.8,10,NW,17.3,27.6,N/A,,Mostly Cloudy,310,03/01/2014 07:51
3:51 AM,30.9,15.1,52,29.88,10,NW,16.1,31.1,N/A,,Partly Cloudy,310,03/01/2014 08:51
4:51 AM,28,9,45,29.95,10,NNW,12.7,27.6,N/A,,Partly Cloudy,330,03/01/2014 09:51
5:51 AM,25,6.1,45,30.01,10,NW,12.7,29.9,N/A,,Clear,310,03/01/2014 10:51
6:51 AM,24.1,6.1,46,30.09,10,NW,10.4,18.4,N/A,,Clear,320,03/01/2014 11:51
7:51 AM,23,6.1,48,30.16,10,NNW,6.9,18.4,N/A,,Partly Cloudy,330,03/01/2014 12:51
8:51 AM,25,5,43,30.19,10,North,9.2,20.7,N/A,,Partly Cloudy,350,03/01/2014 13:51
9:51 AM,26.1,5,41,30.24,10,NNW,10.4,21.9,N/A,,Partly Cloudy,340,03/01/2014 14:51
10:51 AM,28,5,38,30.27,10,NNW,6.9,21.9,N/A,,Partly Cloudy,340,03/01/2014 15:51
11:51 AM,30,7,38,30.27,10,NNE,11.5,-,N/A,,Partly Cloudy,20,03/01/2014 16:51
12:51 PM,30.9,7,37,30.28,10,NNW,10.4,17.3,N/A,,Partly Cloudy,330,03/01/2014 17:51
1:51 PM,33.1,7,34,30.31,10,NW,8.1,18.4,N/A,,Clear,310,03/01/2014 18:51
2:51 PM,33.1,7,34,30.32,10,NW,8.1,-,N/A,,Partly Cloudy,320,03/01/2014 19:51
3:51 PM,33.1,7,34,30.34,10,NNW,8.1,-,N/A,,Partly Cloudy,340,03/01/2014 20:51
4:51 PM,30.9,6.1,35,30.36,10,NNW,6.9,-,N/A,,Partly Cloudy,330,03/01/2014 21:51
5:51 PM,28.9,6.1,38,30.39,10,Calm,Calm,-,N/A,,Partly Cloudy,0,03/01/2014 22:51
6:51 PM,28.9,6.1,38,30.43,10,Calm,Calm,-,N/A,,Clear,0,03/01/2014 23:51
7:51 PM,26.1,10.9,53,30.45,10,Calm,Calm,-,N/A,,Clear,0,04/01/2014 00:51
8:51 PM,24.1,10.9,57,30.46,10,Calm,Calm,-,N/A,,Clear,0,04/01/2014 01:51
9:51 PM,24.1,12,60,30.46,10,Calm,Calm,-,N/A,,Clear,0,04/01/2014 02:51
10:51 PM,23,10.9,60,30.48,10,Calm,Calm,-,N/A,,Clear,0,04/01/2014 03:51
11:51 PM,21.9,12,66,30.49,10,Calm,Calm,-,N/A,,Clear,0,04/01/2014 04:51
